id,Country,Year,DiseaseName,DiseaseCategory,PrevalenceRate,IncidenceRate,MortalityRate,AgeGroup,Gender,PopulationAffected,HealthcareAccess,DoctorsPer1000,HospitalBedsPer1000,TreatmentType,AverageTreatmentCost,AvailabilityOfVaccinesTreatment,RecoveryRate,DALYs,ImprovementIn5Years,PerCapitaIncome,EducationIndex,UrbanizationRate
53537,India,2018,Malaria,Genetic,1.96,3.83,8.6,0-18,Female,385294,61.93,2.01,5.17,Medication,1623.0,Yes,66.2,851.0,2.15,90854.0,0.77,71.69
53542,USA,2003,Leprosy,Metabolic,4.81,10.08,4.64,61+,Female,842144,76.43,4.38,9.2,Therapy,44880.0,Yes,92.48,3955.0,7.5,55637.0,0.59,41.33
53547,Russia,2021,Measles,Neurological,15.82,3.75,0.42,0-18,Female,605289,72.1,1.36,0.56,Surgery,7433.0,Yes,88.98,752.0,0.66,26410.0,0.88,33.75
53548,Italy,2009,Leprosy,Infectious,19.83,1.74,2.9,19-35,Male,195295,57.4,3.05,4.5,Medication,34354.0,Yes,95.47,1359.0,6.96,80279.0,0.71,20.23
53558,Russia,2006,Dengue,Cardiovascular,3.22,6.58,3.17,19-35,Female,91310,89.3,0.84,2.54,Vaccination,6939.0,Yes,57.92,4340.0,0.89,96829.0,0.61,57.08
53569,Brazil,2016,Leprosy,Metabolic,9.22,11.44,8.05,19-35,Other,58106,94.28,0.82,3.27,Medication,30364.0,Yes,83.84,2129.0,9.53,60725.0,0.67,88.36
53578,Turkey,2004,Zika,Genetic,5.64,8.53,9.13,0-18,Other,680702,86.61,3.14,7.4,Surgery,41860.0,No,51.41,906.0,8.82,14649.0,0.82,78.2
53590,South Africa,2004,Alzheimer's Disease,Cardiovascular,8.17,9.62,0.94,19-35,Male,517975,76.69,4.71,4.76,Medication,25999.0,Yes,86.78,2457.0,7.2,25211.0,0.6,58.8
53597,Turkey,2006,Cancer,Genetic,0.24,14.33,2.65,19-35,Female,90396,84.74,1.37,2.08,Vaccination,7809.0,No,80.02,3354.0,0.6,66960.0,0.79,89.89
53611,Germany,2005,Malaria,Chronic,17.65,6.58,6.6,0-18,Male,191802,51.99,2.92,3.63,Vaccination,15096.0,Yes,93.76,975.0,6.01,5395.0,0.81,57.43
53613,Germany,2011,Polio,Chronic,10.41,11.7,8.55,61+,Male,715663,91.68,1.81,4.95,Surgery,22486.0,Yes,65.57,1548.0,0.75,84861.0,0.44,23.77
53614,India,2024,Tuberculosis,Bacterial,2.33,5.53,3.59,36-60,Male,25795,97.26,4.86,4.59,Therapy,28550.0,No,64.02,4648.0,0.58,1481.0,0.6,38.13
53620,France,2022,Cholera,Genetic,18.3,13.15,6.9,0-18,Male,773675,70.83,3.51,8.42,Therapy,5926.0,Yes,64.55,4825.0,1.32,19226.0,0.87,66.68
53625,Mexico,2012,Leprosy,Bacterial,1.69,6.96,3.01,0-18,Other,667873,76.12,3.45,0.7,Vaccination,33289.0,Yes,97.55,18.0,6.5,72235.0,0.8,51.95
53628,South Korea,2013,COVID-19,Respiratory,12.34,8.42,9.69,0-18,Other,494388,65.81,1.43,0.57,Therapy,31809.0,No,58.09,1869.0,7.75,41175.0,0.57,85.91
53630,Australia,2023,Hepatitis,Parasitic,6.93,13.27,5.88,61+,Female,198025,93.4,4.11,8.47,Vaccination,47632.0,No,78.69,574.0,8.09,12035.0,0.6,89.35
53631,South Africa,2017,Ebola,Chronic,14.79,10.87,3.05,61+,Other,694215,89.24,2.81,7.04,Medication,46196.0,Yes,95.15,3315.0,5.44,77532.0,0.74,45.34
53634,Australia,2022,Ebola,Autoimmune,9.27,14.97,5.97,19-35,Male,679449,70.07,3.12,9.3,Vaccination,45443.0,No,65.52,1186.0,4.97,43765.0,0.72,62.36
53648,Russia,2009,HIV/AIDS,Metabolic,10.11,13.77,4.02,36-60,Female,485793,76.58,3.43,9.28,Medication,24840.0,Yes,62.46,1470.0,1.4,81935.0,0.72,76.33
53652,South Korea,2020,Rabies,Parasitic,5.63,5.59,0.5,0-18,Other,352566,97.4,3.01,4.0,Vaccination,12971.0,No,68.16,1113.0,8.68,46027.0,0.82,82.62
53664,Russia,2022,Cancer,Bacterial,13.48,4.33,3.28,61+,Male,260040,74.23,1.5,6.32,Surgery,15428.0,No,68.25,2774.0,6.86,27066.0,0.76,24.17
53681,Australia,2004,Parkinson's Disease,Infectious,3.32,4.56,4.59,36-60,Male,938015,89.27,1.55,3.31,Medication,21476.0,Yes,77.07,183.0,9.44,79289.0,0.41,64.48
53684,Argentina,2020,Measles,Viral,19.88,1.31,5.19,19-35,Other,526224,52.1,3.41,2.98,Therapy,1023.0,No,80.81,3337.0,4.16,49482.0,0.45,47.12
53686,USA,2013,Leprosy,Genetic,3.54,0.23,5.3,0-18,Male,536684,71.56,2.21,3.88,Vaccination,43230.0,No,54.75,164.0,3.72,99292.0,0.51,44.6
53690,South Korea,2004,Measles,Viral,4.34,6.47,0.89,36-60,Female,520026,66.46,3.54,8.16,Surgery,6959.0,Yes,97.34,2753.0,1.3,39333.0,0.68,61.7
53695,Japan,2011,Polio,Neurological,2.24,13.54,3.62,36-60,Other,234809,79.32,2.31,8.6,Medication,1476.0,Yes,93.02,3318.0,7.39,79681.0,0.46,34.47
53702,China,2001,Parkinson's Disease,Infectious,15.22,9.96,6.56,36-60,Male,198462,75.09,0.98,3.76,Therapy,9013.0,No,78.14,1123.0,9.68,92178.0,0.5,64.36
53706,USA,2003,Malaria,Autoimmune,7.54,2.11,9.77,19-35,Female,219607,60.12,2.28,5.34,Surgery,18578.0,Yes,93.49,1100.0,8.4,30635.0,0.66,45.44
53709,Argentina,2015,COVID-19,Respiratory,8.62,1.62,8.05,19-35,Male,858647,92.89,3.28,9.56,Therapy,21359.0,No,68.95,955.0,5.12,12321.0,0.54,56.03
53719,UK,2017,Ebola,Viral,14.74,2.67,3.89,36-60,Female,432098,83.14,1.51,9.43,Medication,15231.0,Yes,84.25,2955.0,9.63,13567.0,0.5,77.81
53723,UK,2015,Parkinson's Disease,Viral,1.95,2.87,9.42,19-35,Male,239282,89.26,0.51,1.37,Surgery,17845.0,Yes,98.12,3250.0,9.4,96758.0,0.8,47.81
53726,Nigeria,2018,Cholera,Metabolic,8.3,6.4,8.7,36-60,Other,763651,71.23,3.52,2.99,Surgery,49608.0,Yes,88.73,2020.0,6.85,71958.0,0.6,79.47
53730,Canada,2001,HIV/AIDS,Autoimmune,14.23,4.0,5.17,19-35,Other,137522,54.2,0.71,4.07,Vaccination,45673.0,No,66.17,902.0,8.34,23570.0,0.66,50.84
53745,South Korea,2002,Measles,Infectious,7.25,9.51,0.86,36-60,Other,676248,64.47,1.48,2.83,Therapy,41699.0,Yes,68.84,10.0,6.24,44266.0,0.75,25.17
53747,Saudi Arabia,2006,COVID-19,Neurological,2.68,14.27,9.94,61+,Female,397155,98.15,4.26,5.27,Therapy,11228.0,No,52.34,2776.0,6.66,10134.0,0.6,71.88
53749,France,2023,Influenza,Genetic,10.89,5.34,3.07,36-60,Other,987387,51.65,3.0,8.87,Medication,26733.0,No,81.84,4351.0,0.24,51590.0,0.64,43.33
53754,Japan,2021,Hepatitis,Cardiovascular,15.86,6.07,1.68,61+,Female,7383,56.69,1.77,4.26,Surgery,48192.0,No,81.86,2119.0,4.96,63154.0,0.84,67.4
53755,Brazil,2021,Cancer,Metabolic,19.89,8.9,4.77,0-18,Female,49298,92.89,2.98,1.38,Medication,49137.0,Yes,66.35,1903.0,3.9,47443.0,0.48,83.38
53773,Saudi Arabia,2016,HIV/AIDS,Bacterial,3.45,13.11,1.69,36-60,Female,292140,61.93,2.53,3.14,Vaccination,14115.0,Yes,86.48,941.0,9.13,91139.0,0.83,66.02
53774,Australia,2016,Zika,Viral,17.94,14.15,8.81,0-18,Male,979123,78.65,3.76,6.09,Surgery,16397.0,Yes,62.82,3480.0,6.31,77713.0,0.74,41.22
53778,Italy,2012,Measles,Cardiovascular,16.7,4.83,7.75,36-60,Other,741685,71.55,2.88,6.96,Vaccination,10091.0,No,76.91,615.0,3.53,27504.0,0.85,39.98
53782,Argentina,2010,Malaria,Autoimmune,13.31,12.51,0.38,19-35,Male,839283,89.51,2.48,3.19,Vaccination,38585.0,Yes,87.45,623.0,9.25,84622.0,0.56,30.97
53784,Italy,2006,Hypertension,Bacterial,8.38,5.07,6.22,61+,Male,213392,64.56,2.87,6.98,Vaccination,31992.0,No,78.54,2602.0,9.98,4628.0,0.59,89.97
53788,South Korea,2007,Alzheimer's Disease,Autoimmune,2.28,8.75,3.8,61+,Female,232637,98.91,1.43,9.97,Therapy,4103.0,Yes,60.39,2469.0,5.74,74873.0,0.7,87.62
53790,Nigeria,2013,Influenza,Neurological,11.12,7.59,7.37,61+,Other,484962,58.25,0.99,1.41,Medication,32132.0,No,56.38,3272.0,6.11,7916.0,0.62,49.78
53793,South Korea,2003,COVID-19,Respiratory,3.14,11.61,1.74,19-35,Other,829781,67.16,2.59,7.21,Medication,35803.0,No,58.46,2500.0,1.31,65432.0,0.54,63.32
53801,Brazil,2015,Ebola,Metabolic,13.21,7.49,0.76,19-35,Male,74542,86.6,3.26,1.7,Therapy,30258.0,Yes,74.61,534.0,1.76,3836.0,0.68,37.7
53802,Germany,2012,Alzheimer's Disease,Chronic,4.0,9.77,7.22,19-35,Other,784719,97.61,1.94,2.05,Therapy,25407.0,Yes,94.28,1056.0,1.06,13528.0,0.6,65.14
53806,Indonesia,2014,Ebola,Autoimmune,10.59,12.05,9.03,0-18,Male,740792,57.88,3.9,2.23,Vaccination,41669.0,Yes,59.11,4063.0,7.13,6852.0,0.7,73.06
53809,Nigeria,2013,Dengue,Chronic,15.6,0.12,7.99,19-35,Male,256436,77.25,2.97,5.85,Therapy,39561.0,No,90.63,3125.0,4.7,79161.0,0.74,46.46
53811,UK,2015,Zika,Bacterial,14.16,11.25,6.96,19-35,Female,773391,60.56,4.59,8.45,Medication,29014.0,No,94.25,2519.0,9.81,10397.0,0.77,75.5
53818,Indonesia,2021,Rabies,Autoimmune,13.74,7.47,5.38,0-18,Male,534628,94.39,4.98,6.74,Medication,9932.0,Yes,91.14,4076.0,1.71,20933.0,0.48,70.29
53820,USA,2000,Ebola,Genetic,7.27,14.26,7.91,0-18,Female,889872,76.53,0.88,5.55,Therapy,16662.0,No,87.24,3943.0,1.2,8372.0,0.46,83.63
53821,Germany,2013,Ebola,Metabolic,12.46,2.2,2.36,0-18,Female,157927,79.78,1.25,6.51,Medication,4550.0,Yes,83.82,1194.0,5.35,56769.0,0.78,65.12
53822,Japan,2007,Polio,Viral,10.08,0.32,2.29,19-35,Female,579426,58.66,3.68,5.83,Therapy,19407.0,Yes,83.13,3839.0,6.39,21445.0,0.65,59.35
53823,Italy,2013,Zika,Genetic,9.81,12.85,3.71,0-18,Male,630840,60.86,4.77,4.24,Vaccination,46933.0,No,83.96,2899.0,2.86,17764.0,0.48,28.12
53825,Russia,2012,Leprosy,Bacterial,11.2,11.41,5.4,36-60,Male,503903,58.43,3.24,5.85,Vaccination,7286.0,No,59.33,3073.0,7.87,57869.0,0.5,77.97
53826,South Korea,2014,Influenza,Cardiovascular,2.44,8.06,5.18,0-18,Female,350188,79.34,2.76,6.85,Vaccination,7593.0,Yes,91.52,2654.0,6.12,60908.0,0.81,51.87
53827,South Africa,2005,Tuberculosis,Parasitic,18.62,7.07,4.73,61+,Male,909914,85.33,1.81,9.71,Surgery,49086.0,No,56.19,2255.0,2.78,94288.0,0.6,59.46
53828,Russia,2010,Ebola,Metabolic,12.37,14.12,8.67,0-18,Female,438950,74.36,2.05,1.05,Medication,4205.0,No,82.05,1126.0,0.84,63190.0,0.78,60.69
53829,China,2007,COVID-19,Metabolic,10.56,7.73,7.74,0-18,Female,544067,55.7,1.47,5.5,Medication,12875.0,Yes,87.46,1701.0,2.37,86247.0,0.7,57.81
53830,Japan,2017,Rabies,Chronic,8.77,9.93,0.76,0-18,Female,267949,69.43,1.53,3.79,Therapy,20256.0,No,73.2,580.0,5.04,97263.0,0.86,52.39
53839,Brazil,2008,Parkinson's Disease,Genetic,16.09,1.89,4.97,0-18,Female,769345,50.9,2.5,5.83,Surgery,35820.0,Yes,60.95,509.0,6.35,4057.0,0.67,67.61
53844,Germany,2024,Polio,Genetic,0.89,7.5,8.72,61+,Male,684974,93.58,1.2,3.46,Therapy,25648.0,Yes,60.7,1137.0,9.75,31330.0,0.79,71.43
53853,Russia,2013,Ebola,Neurological,18.51,4.69,2.07,19-35,Male,445793,77.82,1.6,6.62,Vaccination,22511.0,Yes,68.03,3881.0,1.7,1059.0,0.7,87.85
53857,France,2011,Polio,Parasitic,10.43,4.62,7.82,36-60,Female,636185,57.08,2.14,2.71,Medication,5487.0,Yes,57.35,2259.0,7.86,34497.0,0.87,71.96
53862,Germany,2002,Hypertension,Parasitic,3.77,8.17,2.24,0-18,Female,598112,73.45,0.52,0.73,Medication,45861.0,No,78.11,3277.0,8.92,43336.0,0.5,33.74
53863,Nigeria,2003,Asthma,Neurological,9.11,0.6,5.87,19-35,Female,326150,91.79,2.73,2.41,Vaccination,12500.0,No,54.18,4269.0,0.4,90958.0,0.87,44.69
53867,India,2006,Ebola,Bacterial,14.34,3.23,3.47,61+,Male,625321,84.93,3.51,9.27,Surgery,36850.0,No,57.35,3950.0,5.07,83184.0,0.69,80.64
53870,Saudi Arabia,2021,Cholera,Autoimmune,2.43,0.97,2.05,19-35,Other,743154,88.41,2.55,8.52,Surgery,33957.0,Yes,79.18,2035.0,0.88,59484.0,0.42,34.57
53874,Saudi Arabia,2009,Influenza,Chronic,3.07,0.84,6.13,19-35,Other,657011,73.85,3.17,2.67,Vaccination,46286.0,Yes,77.97,1260.0,9.29,65114.0,0.65,67.51
53875,South Korea,2008,Leprosy,Viral,6.71,7.72,3.28,61+,Female,183876,52.17,4.51,1.66,Therapy,31476.0,No,58.65,3675.0,1.85,5828.0,0.88,29.08
53877,Italy,2018,Parkinson's Disease,Genetic,18.64,11.06,3.88,0-18,Other,340480,99.74,2.74,1.18,Therapy,41155.0,Yes,53.33,4082.0,1.75,93997.0,0.78,88.82
53880,Argentina,2016,Influenza,Infectious,16.58,8.46,7.11,36-60,Male,602045,88.31,4.21,4.36,Medication,40201.0,No,93.38,2660.0,2.26,29678.0,0.66,65.7
53883,China,2007,Cholera,Parasitic,5.48,14.85,1.32,19-35,Other,609273,82.28,2.36,9.23,Vaccination,16256.0,Yes,56.89,3932.0,9.41,35070.0,0.65,28.28
53891,South Korea,2018,Zika,Viral,17.36,10.87,8.62,0-18,Female,400296,84.13,3.8,3.38,Surgery,18696.0,Yes,57.27,3565.0,4.38,94200.0,0.84,29.12
53898,Russia,2001,Dengue,Genetic,17.88,5.14,4.84,61+,Other,368809,73.61,2.31,6.65,Vaccination,44202.0,Yes,88.66,4653.0,4.02,39598.0,0.8,89.34
53905,USA,2012,Hypertension,Infectious,13.21,4.0,9.31,19-35,Female,182962,50.52,3.91,1.62,Vaccination,43265.0,Yes,71.78,1533.0,9.15,25288.0,0.62,51.83
53906,South Africa,2018,Leprosy,Bacterial,4.45,1.84,4.0,19-35,Other,457932,80.74,1.41,2.36,Therapy,3865.0,No,88.68,3267.0,0.73,98276.0,0.46,56.7
53910,UK,2008,Malaria,Bacterial,13.85,2.9,2.83,36-60,Male,322489,95.06,3.99,9.04,Vaccination,33311.0,No,94.97,1092.0,3.69,32264.0,0.44,72.03
53919,Australia,2011,Tuberculosis,Parasitic,12.83,0.47,8.67,19-35,Male,533288,62.73,4.42,7.6,Therapy,44443.0,No,77.61,4192.0,7.3,49369.0,0.67,63.02
53923,Germany,2018,Influenza,Chronic,18.09,14.18,5.22,36-60,Female,941074,51.47,4.69,5.53,Vaccination,25935.0,Yes,95.4,2724.0,3.34,62056.0,0.66,47.63
53928,Canada,2020,Alzheimer's Disease,Neurological,8.27,14.02,3.75,36-60,Male,684617,59.61,4.51,1.25,Vaccination,40774.0,No,74.65,92.0,6.29,33660.0,0.45,42.34
53937,Italy,2015,Parkinson's Disease,Cardiovascular,11.94,6.27,8.59,61+,Female,948203,92.91,4.59,1.97,Vaccination,44182.0,Yes,60.29,2003.0,0.14,16332.0,0.66,62.03
53938,Nigeria,2017,Leprosy,Viral,1.04,14.69,0.52,0-18,Other,666198,57.59,4.14,9.71,Medication,24694.0,Yes,78.75,695.0,9.27,42689.0,0.8,22.8
53946,Argentina,2004,Asthma,Infectious,9.06,7.91,2.9,61+,Female,776171,66.63,2.4,9.62,Medication,33623.0,No,51.18,222.0,5.84,71301.0,0.81,85.73
53948,South Africa,2000,Cancer,Bacterial,6.55,5.82,6.2,61+,Other,871620,53.18,3.82,1.2,Medication,25074.0,Yes,61.37,1443.0,3.82,97152.0,0.78,32.18
53953,France,2012,Hepatitis,Respiratory,14.04,13.47,9.86,61+,Female,731480,96.45,1.45,8.73,Therapy,21278.0,Yes,54.14,755.0,3.78,50850.0,0.79,66.12
53963,Brazil,2007,Malaria,Autoimmune,12.45,13.82,8.57,0-18,Male,614033,95.18,1.29,8.19,Vaccination,6676.0,No,63.77,3130.0,0.36,89345.0,0.73,50.19
53966,Italy,2017,Diabetes,Genetic,13.88,14.16,5.73,0-18,Male,570648,76.74,1.29,6.43,Surgery,18670.0,Yes,74.78,2677.0,3.84,13072.0,0.51,63.98
53967,South Africa,2003,Alzheimer's Disease,Cardiovascular,14.9,14.57,5.62,61+,Other,663291,89.86,4.8,5.49,Therapy,31794.0,Yes,66.87,4747.0,4.94,94518.0,0.67,79.71
53971,Indonesia,2010,Cholera,Bacterial,12.02,12.56,3.35,36-60,Female,913374,81.44,2.3,0.81,Therapy,17895.0,No,98.98,4759.0,4.84,34654.0,0.4,88.29
53977,South Africa,2011,Alzheimer's Disease,Neurological,15.26,5.64,6.89,19-35,Other,46912,88.88,1.75,1.18,Surgery,42067.0,Yes,56.61,700.0,6.31,3185.0,0.75,74.23
53978,Saudi Arabia,2001,Dengue,Neurological,1.95,14.73,3.32,19-35,Female,523694,73.44,3.61,0.74,Vaccination,2236.0,No,78.11,1996.0,5.75,78711.0,0.46,56.15
53984,Japan,2023,Influenza,Genetic,5.0,8.79,0.18,0-18,Other,172951,64.27,3.06,6.79,Therapy,48310.0,Yes,51.59,3889.0,0.58,5820.0,0.8,20.63
53993,USA,2014,Cancer,Bacterial,8.49,3.78,2.33,61+,Other,183999,72.16,1.81,8.1,Medication,2035.0,Yes,98.46,1962.0,8.02,26102.0,0.62,65.85
53996,Indonesia,2000,Cancer,Viral,9.89,5.93,9.54,0-18,Other,588296,56.88,3.28,7.48,Therapy,9752.0,Yes,88.17,4497.0,4.22,9042.0,0.44,85.78
53999,Italy,2010,Alzheimer's Disease,Neurological,8.72,10.73,3.2,0-18,Male,997916,72.21,2.26,6.26,Vaccination,30359.0,Yes,60.09,1945.0,2.68,30895.0,0.46,83.46
54004,Brazil,2008,COVID-19,Genetic,12.4,13.18,1.27,19-35,Female,192793,52.91,4.74,0.74,Surgery,3496.0,Yes,96.92,4365.0,2.39,32576.0,0.53,75.25
54012,India,2011,Zika,Metabolic,18.34,12.36,8.02,0-18,Other,737379,59.75,2.95,2.17,Therapy,46137.0,Yes,89.44,1705.0,4.11,82311.0,0.76,57.45
54013,Turkey,2021,Hypertension,Viral,13.9,9.54,5.84,19-35,Female,156876,64.06,3.9,4.6,Therapy,5688.0,Yes,95.56,2212.0,4.48,7883.0,0.66,26.17
54014,Mexico,2009,Alzheimer's Disease,Infectious,14.84,7.51,9.14,19-35,Female,614086,71.88,4.25,0.67,Surgery,26839.0,No,55.24,2671.0,2.67,48546.0,0.5,88.21
54019,South Korea,2013,Dengue,Neurological,1.63,13.14,3.23,36-60,Male,633681,81.21,4.3,5.26,Surgery,37448.0,Yes,73.62,609.0,9.21,89856.0,0.74,47.62
54026,South Africa,2022,COVID-19,Bacterial,4.51,8.3,5.18,61+,Other,479876,91.64,2.82,6.42,Vaccination,38573.0,Yes,87.69,3452.0,7.64,19245.0,0.87,54.56
54036,Japan,2022,Asthma,Autoimmune,7.01,12.59,6.4,36-60,Other,9005,91.12,1.33,7.14,Vaccination,18817.0,No,62.28,4802.0,6.92,75815.0,0.42,82.25
54037,Turkey,2008,Polio,Parasitic,11.68,4.84,9.78,36-60,Other,515636,89.89,3.81,4.49,Surgery,39142.0,No,64.82,598.0,6.43,59854.0,0.59,75.73
54044,France,2004,Polio,Infectious,19.67,6.05,2.54,61+,Female,960088,77.2,2.62,2.09,Medication,24001.0,Yes,97.37,2809.0,4.11,86156.0,0.48,82.71
54073,Italy,2006,Dengue,Parasitic,11.11,13.57,1.97,19-35,Female,706672,65.2,0.55,6.13,Surgery,27416.0,No,59.42,2646.0,0.44,79071.0,0.56,50.07
54081,Germany,2010,COVID-19,Neurological,16.86,13.72,6.9,0-18,Male,76327,61.65,1.27,1.53,Surgery,14068.0,Yes,69.34,3239.0,6.41,49219.0,0.71,62.19
54083,China,2010,Rabies,Chronic,8.36,11.08,7.25,0-18,Other,456070,76.9,2.41,1.56,Surgery,23527.0,Yes,68.61,2270.0,0.54,6531.0,0.45,51.5
54084,South Africa,2010,Rabies,Viral,14.36,9.82,7.65,19-35,Male,93552,62.65,3.96,4.72,Medication,49187.0,Yes,55.66,4607.0,6.43,58842.0,0.61,54.91
54086,Japan,2024,HIV/AIDS,Bacterial,19.15,12.4,2.29,0-18,Female,153989,64.86,3.48,3.19,Vaccination,45900.0,Yes,87.81,994.0,8.4,7492.0,0.88,25.79
54091,Mexico,2018,Diabetes,Respiratory,3.25,7.66,2.27,61+,Male,101759,75.69,4.53,2.4,Surgery,13454.0,No,83.93,451.0,7.43,58240.0,0.68,20.8
54092,South Korea,2007,Zika,Chronic,4.88,13.23,0.5,36-60,Female,842497,51.28,0.54,2.61,Surgery,36865.0,No,72.55,4233.0,1.14,76408.0,0.76,64.36
54093,Germany,2010,Tuberculosis,Genetic,19.99,10.83,3.94,36-60,Male,715693,73.04,2.28,9.33,Vaccination,17348.0,No,69.7,2855.0,2.8,35171.0,0.75,37.0
54105,Germany,2024,Zika,Metabolic,5.9,9.91,9.05,0-18,Other,467596,81.91,4.43,5.74,Medication,37847.0,No,66.6,1774.0,6.27,78185.0,0.42,43.98
54108,China,2010,Tuberculosis,Cardiovascular,12.35,8.81,4.23,61+,Male,528536,97.75,0.8,3.2,Therapy,35071.0,No,63.33,817.0,2.25,37452.0,0.82,69.41
54109,Argentina,2019,Influenza,Parasitic,7.16,10.65,9.57,36-60,Male,379175,63.86,1.74,6.13,Vaccination,8168.0,Yes,64.62,3682.0,1.27,64204.0,0.82,34.49
54117,South Africa,2010,Diabetes,Neurological,10.18,3.5,7.18,0-18,Male,410940,51.28,2.94,6.35,Therapy,47438.0,Yes,89.25,427.0,8.11,4600.0,0.72,79.52
54119,USA,2012,Ebola,Autoimmune,16.18,10.72,0.3,0-18,Female,906997,99.47,3.82,2.07,Vaccination,33654.0,Yes,70.15,2845.0,2.04,22240.0,0.61,49.27
54121,Germany,2014,HIV/AIDS,Viral,6.31,4.41,5.87,0-18,Other,605898,63.61,4.2,4.82,Medication,30870.0,No,58.89,1491.0,9.9,47784.0,0.55,49.88
54126,India,2012,Cancer,Viral,19.41,1.47,3.56,61+,Female,418261,60.66,2.54,6.81,Vaccination,47811.0,No,54.04,524.0,3.35,41999.0,0.68,65.92
54147,Canada,2018,Hepatitis,Autoimmune,9.88,8.82,10.0,61+,Male,899135,54.64,4.68,6.86,Vaccination,48172.0,No,92.06,4498.0,2.53,38485.0,0.49,71.69
54149,Russia,2020,Hepatitis,Infectious,5.82,12.17,0.52,19-35,Female,896453,91.14,0.76,8.89,Therapy,11443.0,Yes,66.88,1714.0,6.17,68945.0,0.53,79.07
54150,France,2022,Measles,Bacterial,11.22,9.62,5.14,61+,Female,198267,72.57,1.89,9.52,Medication,42652.0,No,68.82,2588.0,4.67,83187.0,0.89,63.6
54151,Mexico,2024,Cancer,Autoimmune,5.67,7.2,8.49,19-35,Female,456848,59.16,3.08,9.96,Therapy,36481.0,Yes,79.77,2698.0,1.58,56927.0,0.47,59.47
54153,India,2017,Zika,Viral,6.93,5.61,2.13,36-60,Female,84290,97.71,0.91,1.91,Vaccination,21875.0,No,75.68,3485.0,8.8,73830.0,0.78,48.03
54164,UK,2013,Measles,Genetic,7.05,1.16,4.04,19-35,Male,516895,77.63,4.64,5.58,Vaccination,43990.0,No,60.27,4462.0,5.8,44236.0,0.47,34.02
54168,Italy,2018,Hepatitis,Viral,9.89,0.25,6.71,0-18,Other,301349,98.68,3.13,4.5,Therapy,20141.0,No,58.57,4291.0,5.88,38292.0,0.81,60.37
54171,Russia,2006,Leprosy,Viral,2.28,5.12,3.66,61+,Other,496712,86.58,3.26,6.53,Therapy,13740.0,Yes,92.7,594.0,3.22,72281.0,0.56,44.33
54175,Brazil,2001,Rabies,Autoimmune,1.4,5.3,0.49,19-35,Other,564116,90.65,3.84,9.84,Medication,30330.0,Yes,86.18,1203.0,4.57,15092.0,0.88,80.72
54176,Japan,2002,Ebola,Autoimmune,1.19,8.36,7.91,0-18,Female,474685,94.63,3.76,1.32,Vaccination,7918.0,Yes,87.65,4358.0,3.34,68314.0,0.88,76.09
54181,Australia,2005,Malaria,Respiratory,8.16,11.12,2.31,61+,Male,115515,57.14,1.6,7.6,Therapy,17328.0,No,68.4,3829.0,9.84,76923.0,0.57,28.88
54183,Australia,2013,Zika,Cardiovascular,2.31,10.43,3.36,19-35,Female,989697,71.28,3.47,4.35,Therapy,49258.0,Yes,61.9,3160.0,7.02,67951.0,0.41,63.42
54193,Japan,2008,Parkinson's Disease,Viral,9.79,7.7,5.63,19-35,Female,443168,81.15,1.36,1.03,Surgery,13706.0,No,77.47,2066.0,0.85,74134.0,0.61,45.35
54209,Turkey,2006,Zika,Bacterial,17.48,14.23,0.38,19-35,Female,79780,60.03,2.63,7.1,Vaccination,37879.0,No,82.17,746.0,0.24,66895.0,0.86,57.57
54213,Germany,2010,Malaria,Cardiovascular,16.8,13.68,0.17,0-18,Female,156769,94.59,4.33,5.58,Therapy,13145.0,Yes,59.33,2788.0,9.93,68008.0,0.58,44.3
54222,Germany,2000,Polio,Infectious,8.72,9.84,8.54,0-18,Male,61840,65.4,2.54,4.53,Therapy,30553.0,No,61.67,904.0,1.54,94241.0,0.64,23.04
54227,Japan,2014,Ebola,Viral,4.36,13.77,9.39,0-18,Female,252681,55.11,4.75,2.62,Therapy,3741.0,No,75.11,2790.0,3.92,20568.0,0.59,34.43
54232,USA,2013,Hepatitis,Metabolic,2.58,6.54,5.76,19-35,Male,373465,92.24,4.02,8.87,Vaccination,37447.0,No,57.51,4441.0,7.84,39853.0,0.74,24.73
54234,Indonesia,2019,Ebola,Chronic,15.28,2.71,5.26,61+,Male,388043,89.19,4.98,3.67,Vaccination,49935.0,Yes,81.73,2758.0,3.73,44300.0,0.81,48.6
54237,Nigeria,2017,Dengue,Genetic,9.21,1.67,0.63,61+,Other,664366,84.62,0.88,9.97,Vaccination,26952.0,No,86.48,3964.0,8.55,6508.0,0.66,22.47
54238,China,2001,Cholera,Autoimmune,11.04,11.36,4.9,19-35,Other,424153,62.58,4.04,2.95,Vaccination,16028.0,No,50.96,4054.0,8.57,78534.0,0.43,66.53
54242,Italy,2015,Hypertension,Viral,16.06,0.14,1.03,61+,Female,123403,94.19,3.52,7.35,Medication,15396.0,No,69.32,529.0,5.17,18221.0,0.78,26.88
54253,Brazil,2018,Cholera,Infectious,7.97,2.91,4.82,19-35,Male,358619,51.11,0.5,7.14,Surgery,31800.0,Yes,77.83,2048.0,0.11,32781.0,0.67,61.24
54255,Germany,2015,Cholera,Neurological,12.56,10.62,1.42,19-35,Male,974240,86.85,3.82,6.89,Vaccination,3727.0,No,50.36,2939.0,9.46,60328.0,0.57,80.31
